ENTRY,RETURN,RATE
2000:08:31,8049.61,0.428140883
2000:09:01,8073.89,0.301175531
2000:09:04,8073.89,0
2000:09:05,8051.27,-0.28055554
2000:09:06,7999.07,-0.650455804
2000:09:07,8010.05,0.137171834
2000:09:08,8035.68,0.31946221
2000:09:11,8051.81,0.200528552
2000:09:12,8039.72,-0.150265416
2000:09:13,8039.08,-0.007960793
2000:09:14,8009.27,-0.371502794
2000:09:15,7927.46,-1.026693916
2000:09:18,7861.51,-0.835398174
2000:09:19,7889.44,0.354645647
2000:09:20,7810.13,-1.010354738
2000:09:21,7864.76,0.697041207
2000:09:22,7942.33,0.981466199
2000:09:25,7941.89,-0.005540089
2000:09:26,7871.99,-0.884039277
2000:09:27,7873.70,0.02172023
2000:09:28,8018.39,1.820956188
2000:09:29,7961.26,-0.715037481
2000:10:02,8001.99,0.510298196
2000:10:03,7982.24,-0.247118692
2000:10:04,8011.12,0.36115027
2000:10:05,8075.62,0.801906982
2000:10:06,7936.31,-1.740121463
2000:10:09,7885.64,-0.640504783
2000:10:10,7846.93,-0.492101139
2000:10:11,7702.04,-1.863714366
2000:10:12,7478.75,-2.941956311
2000:10:13,7641.22,2.149161057
2000:10:16,7703.05,0.805907803
2000:10:17,7566.66,-1.786459957
2000:10:18,7519.68,-0.62281709
2000:10:19,7643.54,1.633726279
2000:10:20,7671.35,0.363176367
2000:10:23,7704.56,0.431975104
2000:10:24,7757.13,0.680005906
2000:10:25,7684.87,-0.935895965
2000:10:26,7629.57,-0.722197356
2000:10:27,7726.58,1.263484539
2000:10:30,7891.71,2.11465088
2000:10:31,8010.70,1.496530661
2000:11:01,7983.22,-0.343630918
2000:11:02,7993.16,0.124433711
2000:11:03,7972.08,-0.264073854
2000:11:06,8043.25,0.888779295
2000:11:07,8040.42,-0.035190974
2000:11:08,7999.70,-0.507727966
2000:11:09,7931.96,-0.85038732
2000:11:10,7798.97,-1.690849409
2000:11:13,7689.63,-1.411900577
2000:11:14,7812.33,1.58305869
2000:11:15,7830.47,0.231927892
2000:11:16,7789.98,-0.518424126
2000:11:17,7727.35,-0.807230884
2000:11:20,7615.16,-1.462498635
2000:11:21,7622.59,0.097520967
2000:11:22,7513.44,-1.442279013
2000:11:23,7513.44,0
2000:11:24,7556.53,0.571867329
2000:11:27,7637.51,1.065954371
2000:11:28,7628.24,-0.121448355
2000:11:29,7684.35,0.732864279
2000:11:30,7590.55,-1.228174051
2000:12:01,7572.99,-0.23160829
2000:12:04,7660.50,1.148928612
2000:12:05,7874.58,2.756259418
2000:12:06,7775.71,-1.263507773
2000:12:07,7768.15,-0.097273143
2000:12:08,7874.74,1.36281275
2000:12:11,7880.78,0.076671545
2000:12:12,7859.96,-0.264536637
2000:12:13,7876.79,0.21389431
2000:12:14,7785.71,-1.163045831
2000:12:15,7628.90,-2.034633501
2000:12:18,7708.40,1.03669762
2000:12:19,7629.70,-1.02621173
2000:12:20,7416.41,-2.835341344
2000:12:21,7465.77,0.663346109
2000:12:22,7572.87,1.424355004
2000:12:25,7572.87,0
2000:12:26,7643.92,0.933843686
2000:12:27,7715.55,0.932721237
2000:12:28,7775.63,0.775671075
2000:12:29,7744.88,-0.396250384
2001:01:01,NA,0
2001:01:02,7580.61,-2.143830853
2001:01:03,7819.04,3.096811352
2001:01:04,7728.14,-1.169357218
2001:01:05,7576.54,-1.981158163
2001:01:08,7546.82,-0.393034858
2001:01:09,7553.82,0.092711309
2001:01:10,7606.08,0.689453189
2001:01:11,7646.24,0.526609628
2001:01:12,7618.90,-0.358202142
2001:01:15,7618.90,0
2001:01:16,7703.15,1.099733379
2001:01:17,7669.14,-0.442485218
2001:01:18,7745.67,0.992949362
2001:01:19,7704.72,-0.530084948
2001:01:22,7693.90,-0.140532097
2001:01:23,7758.56,0.836894286
2001:01:24,7775.01,0.211799427
2001:01:25,7790.25,0.195820756
2001:01:26,7744.40,-0.590295026
2001:01:29,7762.56,0.234217517
2001:01:30,7841.43,1.010903899
2001:01:31,7832.24,-0.117266742
2001:02:01,7879.44,0.600828708
2001:02:02,7783.45,-1.225715073
2001:02:05,7830.85,0.607137632
2001:02:06,7796.81,-0.435638526
2001:02:07,7740.31,-0.72729372
2001:02:08,7714.44,-0.334784117
2001:02:09,7653.64,-0.791254564
2001:02:12,7755.98,1.328280706
2001:02:13,7705.11,-0.658041361
2001:02:14,7625.02,-1.044879967
2001:02:15,7663.09,0.498035123
2001:02:16,7586.13,-1.009371672
2001:02:19,7586.13,0
2001:02:20,7495.59,-1.200673235
2001:02:21,7341.86,-2.072263108
2001:02:22,7329.76,-0.164944331
2001:02:23,7271.07,-0.80393123
2001:02:26,7409.42,1.884870273
2001:02:27,7403.00,-0.086684018
2001:02:28,7303.20,-1.357271519
2001:03:01,7273.16,-0.412174816
2001:03:02,7259.38,-0.189643436
2001:03:05,7279.75,0.280209522
2001:03:06,7324.90,0.618298197
2001:03:07,7352.85,0.380849024
2001:03:08,7401.96,0.665683684
2001:03:09,7263.91,-1.882657865
2001:03:12,6952.71,-4.378673972
2001:03:13,7039.05,1.234170625
2001:03:14,6833.95,-2.957038058
2001:03:15,6906.94,1.062386592
2001:03:16,6764.45,-2.084574573
2001:03:19,6877.53,1.657861835
2001:03:20,6733.43,-2.117490379
2001:03:21,6597.64,-2.037266274
2001:03:22,6512.68,-1.296096348
2001:03:23,6671.99,2.41671204
2001:03:26,6774.22,1.520606473
2001:03:27,6968.62,2.829298279
2001:03:28,6844.26,-1.800686899
2001:03:29,6824.49,-0.289273178
2001:03:30,6905.80,1.184402522
2001:04:02,6819.64,-1.255495369
2001:04:03,6601.73,-3.247494864
2001:04:04,6600.33,-0.021208811
2001:04:05,6864.59,3.925666642
2001:04:06,6764.29,-1.471901005
2001:04:09,6802.31,0.560495622
2001:04:10,6945.01,2.076115571
2001:04:11,6886.03,-0.852869452
2001:04:12,6972.31,1.245186867
2001:04:13,6972.31,0
2001:04:16,6986.25,0.199734136
2001:04:17,7071.54,1.213434637
2001:04:18,7299.49,3.172620473
2001:04:19,7354.58,0.751876571
2001:04:20,7285.29,-0.946600173
2001:04:23,7218.34,-0.923223711
2001:04:24,7133.21,-1.186366608
2001:04:25,7262.46,1.795727093
2001:04:26,7329.73,0.922006588
2001:04:27,7438.35,1.471036976
2001:04:30,7377.87,-0.816407099
2001:05:01,7477.42,1.340283363
2001:05:02,7459.70,-0.237261377
2001:05:03,7383.96,-1.020511886
2001:05:04,7482.48,1.325420777
2001:05:07,7470.05,-0.166259527
2001:05:08,7427.85,-0.566524314
2001:05:09,7418.41,-0.127170092
2001:05:10,7432.57,0.190694544
2001:05:11,7373.18,-0.802260183
2001:05:14,7417.56,0.600107002
2001:05:15,7413.99,-0.04814062
2001:05:16,7615.06,2.675910957
2001:05:17,7623.51,0.110902806
2001:05:18,7639.42,0.20847905
2001:05:21,7706.17,0.869962263
2001:05:22,7672.19,-0.441920404
2001:05:23,7569.43,-1.348433527
2001:05:24,7582.26,0.169354086
2001:05:25,7491.02,-1.210633842
2001:05:28,7491.02,0
2001:05:29,7471.00,-0.267611084
2001:05:30,7396.54,-1.001653569
2001:05:31,7432.00,0.478267821
2001:06:01,7443.67,0.156900528
2001:06:04,7488.55,0.601118054
2001:06:05,7555.08,0.884499735
2001:06:06,7473.73,-1.082597951
2001:06:07,7486.28,0.167780676
2001:06:08,7427.99,-0.78167147
2001:06:11,7379.47,-0.655347692
2001:06:12,7391.78,0.166675168
2001:06:13,7335.76,-0.760755295
2001:06:14,7241.41,-1.294508023
2001:06:15,7210.61,-0.426238638
2001:06:18,7195.19,-0.214080522
2001:06:19,7215.60,0.283260163
2001:06:20,7287.19,0.987266333
2001:06:21,7389.01,1.387574899
2001:06:22,7309.63,-1.080110428
2001:06:25,7240.59,-0.94899621
2001:06:26,7200.22,-0.559111368
2001:06:27,7154.73,-0.633790466
2001:06:28,7234.57,1.109724856
2001:06:29,7197.72,-0.51066158
2001:07:02,7291.89,1.299846247
2001:07:03,7272.75,-0.262828481
2001:07:04,7272.75,0
2001:07:05,7198.01,-1.032988794
2001:07:06,7040.76,-2.208848004
2001:07:09,7088.90,0.681406152
2001:07:10,7006.79,-1.16505015
2001:07:11,6971.97,-0.498185419
2001:07:12,7095.00,1.749248589
2001:07:13,7139.47,0.624823329
2001:07:16,7092.13,-0.665282535
2001:07:17,7164.62,1.016930573
2001:07:18,7156.86,-0.108368699
2001:07:19,7171.99,0.211182413
2001:07:20,7172.53,0.007529008
2001:07:23,7057.49,-1.616898729
2001:07:24,6940.58,-1.67041197
2001:07:25,7042.34,1.455515679
2001:07:26,7104.44,0.87794394
2001:07:27,7125.46,0.295434477
2001:07:30,7125.16,-0.004210343
2001:07:31,7163.15,0.531764632
2001:08:01,7164.79,0.022892335
2001:08:02,7175.24,0.145745885
2001:08:03,7149.48,-0.359658378
2001:08:06,7077.99,-1.004965769
2001:08:07,7116.12,0.537266397
2001:08:08,7018.64,-1.379316599
2001:08:09,7022.04,0.048430704
2001:08:10,7075.12,0.75306304
2001:08:13,7059.20,-0.225267388
2001:08:14,7034.93,-0.344399037
2001:08:15,7007.07,-0.396810092
2001:08:16,7010.56,0.049794438
2001:08:17,6914.58,-1.378535799
2001:08:20,6979.73,0.937800833
2001:08:21,6909.46,-1.011874696
2001:08:22,6945.74,0.523703489
2001:08:23,6935.47,-0.147969837
2001:08:24,7043.45,1.544928331
2001:08:27,7003.26,-0.572235202
2001:08:28,6903.93,-1.428494025
2001:08:29,6826.54,-1.127285804
2001:08:30,6731.40,-1.403481085
2001:08:31,6747.17,0.234001191
2001:09:03,NA,0
2001:09:04,6771.67,0.362457531
2001:09:05,6776.42,0.070120588
2001:09:06,6621.39,-2.31436212
2001:09:07,6482.49,-2.120062188
2001:09:10,6536.02,0.822372171
2001:09:11,6536.02,0
2001:09:12,6536.02,0
2001:09:13,6536.02,0
2001:09:14,6536.02,0
2001:09:17,6250.18,-4.471815419
2001:09:18,6227.84,-0.358070012
2001:09:19,6137.16,-1.466746877
2001:09:20,5951.87,-3.065663854
2001:09:21,5857.68,-1.595183513
2001:09:24,6077.34,3.681347949
2001:09:25,6147.42,1.146538136
2001:09:26,6157.55,0.164648955
2001:09:27,6255.97,1.585723668
2001:09:28,6382.49,2.002209551
2001:10:01,6392.20,0.152019374
2001:10:02,6470.94,1.224288681
2001:10:03,6530.93,0.922796885
2001:10:04,6496.06,-0.535351348
2001:10:05,6493.53,-0.038954271
2001:10:08,6432.40,-0.945857756
2001:10:09,6431.48,-0.014303616
2001:10:10,6558.04,1.948709499
2001:10:11,6611.00,0.804315053
2001:10:12,6568.26,-0.648597111
2001:10:15,6569.76,0.022834491
2001:10:16,6603.29,0.509070753
2001:10:17,6523.92,-1.209258741
2001:10:18,6465.94,-0.892702231
2001:10:19,6482.69,0.258714773
2001:10:22,6574.82,1.411165358
2001:10:23,6533.58,-0.629216931
2001:10:24,6517.08,-0.25286091
2001:10:25,6587.08,1.068373186
2001:10:26,6624.81,0.57115375
2001:10:29,6487.23,-2.098606309
2001:10:30,6382.99,-1.619898952
2001:10:31,6365.91,-0.267944846
2001:11:01,6490.23,1.934077807
2001:11:02,6504.49,0.219473844
2001:11:05,6566.92,0.955221735
2001:11:06,6648.99,1.242003842
2001:11:07,6622.92,-0.392860312
2001:11:08,6656.35,0.503492596
2001:11:09,6666.53,0.15281984
2001:11:12,6643.18,-0.350872017
2001:11:13,6760.01,1.743360484
2001:11:14,6776.24,0.239800651
2001:11:15,6793.80,0.258805572
2001:11:16,6763.82,-0.442261236
2001:11:19,6832.28,1.007062004
2001:11:20,6805.69,-0.389941226
2001:11:21,6774.47,-0.459789207
2001:11:22,6774.47,0
2001:11:23,6844.31,1.025651523
2001:11:26,6869.96,0.374063365
2001:11:27,6817.38,-0.768304998
2001:11:28,6694.54,-1.818296503
2001:11:29,6746.00,0.765746785
2001:11:30,6731.39,-0.216807642
2001:12:03,6677.57,-0.802751131
2001:12:04,6733.78,0.838250126
2001:12:05,6843.18,1.61158857
2001:12:06,6818.84,-0.356316646
2001:12:07,6785.10,-0.496033784
2001:12:10,6674.51,-1.643323822
2001:12:11,6640.42,-0.512057885
2001:12:12,6637.19,-0.048653335
2001:12:13,6564.80,-1.096663844
2001:12:14,6582.40,0.267737777
2001:12:17,6648.36,0.997078724
2001:12:18,6693.98,0.683840732
2001:12:19,6770.55,1.137370936
2001:12:20,6757.59,-0.191600678
2001:12:21,6775.03,0.257747719
2001:12:24,6767.58,-0.110023116
2001:12:25,6767.58,0
2001:12:26,6786.31,0.276378397
2001:12:27,6830.33,0.646564106
2001:12:28,6848.17,0.260847463
2001:12:31,6778.03,-1.029496404
2002:01:01,NA,0
2002:01:02,6804.65,0.391970275
2002:01:03,6824.75,0.294950835
2002:01:04,6865.88,0.600850709
2002:01:07,6816.90,-0.715939439
2002:01:08,6771.17,-0.67309298
2002:01:09,6737.61,-0.496863063
2002:01:10,6752.68,0.223420049
2002:01:11,6693.74,-0.876670184
2002:01:14,6662.98,-0.460592936
2002:01:15,6708.90,0.686817119
2002:01:16,6621.17,-1.316291163
2002:01:17,6669.88,0.732977727
2002:01:18,6633.77,-0.542859872
2002:01:21,6633.77,0
2002:01:22,6613.38,-0.307840043
2002:01:23,6635.32,0.331202609
2002:01:24,6635.37,0.00075354
2002:01:25,6638.72,0.050474271
2002:01:28,6627.21,-0.173527267
2002:01:29,6422.37,-3.139669269
2002:01:30,6493.10,1.095286615
2002:01:31,6587.73,1.446875326
2002:02:01,6550.22,-0.5710191
2002:02:04,6377.43,-2.673344198
2002:02:05,6362.52,-0.23406696
2002:02:06,6336.39,-0.411531964
2002:02:07,6347.10,0.168881003
2002:02:08,6450.53,1.61642823
2002:02:11,6526.82,1.175754354
2002:02:12,6512.92,-0.213194516
2002:02:13,6567.75,0.838341173
2002:02:14,6562.25,-0.083777613
2002:02:15,6492.76,-1.064582199
2002:02:18,6492.76,0
2002:02:19,6382.24,-1.716857704
2002:02:20,6478.13,1.491275555
2002:02:21,6397.96,-1.245269892
2002:02:22,6464.65,1.036968354
2002:02:25,6566.00,1.555594599
2002:02:26,6558.51,-0.114137607
2002:02:27,6580.78,0.338983633
2002:02:28,6577.25,-0.05365545
2002:03:01,6707.61,1.962597789
2002:03:04,6817.91,1.631027054
2002:03:05,6751.50,-0.978827086
2002:03:06,6854.24,1.510273647
2002:03:07,6816.39,-0.553743269
2002:03:08,6824.65,0.12110515
2002:03:11,6854.63,0.438327865
2002:03:12,6871.03,0.238968586
2002:03:13,6820.93,-0.731819602
2002:03:14,6816.63,-0.063061136
2002:03:15,6899.70,1.211271756
2002:03:18,6885.40,-0.207470459
2002:03:19,6908.08,0.328851319
2002:03:20,6805.26,-1.499589842
2002:03:21,6793.24,-0.17678425
2002:03:22,6781.67,-0.170461577
2002:03:25,6690.24,-1.357363637
2002:03:26,6723.64,0.497992662
2002:03:27,6757.00,0.494933002
2002:03:28,6754.50,-0.037005514
2002:03:29,6754.50,0
2002:04:01,6728.63,-0.383739262
2002:04:02,6712.82,-0.235242586
2002:04:03,6652.93,-0.896177182
2002:04:04,6647.53,-0.081200204
2002:04:05,6631.26,-0.245052571
2002:04:08,6625.42,-0.08810653
2002:04:09,6601.14,-0.36714047
